Participant_ID,Dates,Distance
p11,2020-05-29,-7.218661710576611
p11,2020-05-30,-9.829470747694913
p11,2020-05-31,-7.838094064990743
p11,2020-06-01,-11.134974365169228
p11,2020-06-02,-10.91593216541242
p11,2020-06-03,-12.060567962804111
p11,2020-06-04,-12.123808898817003
p11,2020-06-05,-7.96091552868733
p11,2020-06-06,-10.571724565803718
p11,2020-06-07,-8.580347883099924
p11,2020-06-08,-11.877228183275536
p11,2020-06-09,-11.658185983518035
p11,2020-06-10,-12.802821780898196
p11,2020-06-11,-12.866062716916003
p11,2020-06-12,-8.703169346792631
p11,2020-06-13,-11.313978383911229
p11,2020-06-14,-9.32260170120144
p11,2020-06-15,-12.619482001381847
p11,2020-06-16,-12.400439801618335
p11,2020-06-17,-13.545075599014275
p11,2020-06-18,-13.608316535024114
p11,2020-06-19,-9.445423164897933
p11,2020-06-20,-12.056232202017087
p11,2020-06-21,-10.064855519314873
p11,2020-06-22,-13.361735819496454
p11,2020-06-23,-13.142693619740054
p11,2020-06-24,-14.287329417130358
p11,2020-06-25,-14.350570353140803
p11,2020-06-26,-10.187676983003238
p11,2020-06-27,-12.798486020125248
p11,2020-06-28,-10.807109337419806
p11,2020-06-29,-14.10398963760276
p11,2020-06-30,-13.884947437840358
p11,2020-07-01,-15.029583235235478
p11,2020-07-02,-15.092824171248912
p11,2020-07-03,-10.929930801113956
p11,2020-07-04,-13.540739838233408
p11,2020-07-05,-11.54936315552474
p11,2020-07-06,-14.846243455705745
p11,2020-07-07,-14.62720125595137
p11,2020-07-08,-15.771837053340562
p11,2020-07-09,-15.835077989347916
p11,2020-07-10,-11.67218461921385
p11,2020-07-11,-14.282993656340919
p11,2020-07-12,-12.291616973638165
p11,2020-07-13,-15.58849727381205
p11,2020-07-14,-15.369455074062381
p11,2020-07-15,-16.514090871445646
p11,2020-07-16,-16.577331807446917
p11,2020-07-17,-12.41443843733039
p11,2020-07-18,-15.025247474446774
p11,2020-07-19,-13.033870791743102
p11,2020-07-20,-16.33075109192666
p11,2020-07-21,-16.111708892173393
p11,2020-07-22,-17.256344689561764
p11,2020-07-23,-17.319585625564134
p11,2020-07-24,-13.156692255435692
p11,2020-07-25,-15.767501292554934
p11,2020-07-26,-13.776124609852284
p11,2020-07-27,-17.073004910024668
p11,2020-07-28,-16.8539627102683
p11,2020-07-29,-17.998598507655853
p11,2020-07-30,-18.061839443663132
