Participant_ID,Dates,Minutes_Asleep
p10,2020-06-10,539.1969844252808
p10,2020-06-11,551.1885221816954
p10,2020-06-12,501.1138089440756
p10,2020-06-13,575.1342455691707
p10,2020-06-14,591.451934009648
p10,2020-06-15,483.0865943318081
p10,2020-06-16,545.1597264019949
p10,2020-06-17,545.2855772862629
p10,2020-06-18,557.2771150426379
p10,2020-06-19,507.2024018051586
p10,2020-06-20,581.222838429943
p10,2020-06-21,597.5405268708312
p10,2020-06-22,489.1751871928758
p10,2020-06-23,551.2483192630967
p10,2020-06-24,551.374170147245
p10,2020-06-25,563.3657079038182
p10,2020-06-26,513.2909946662418
p10,2020-06-27,587.3114312909581
p10,2020-06-28,603.6291197316683
p10,2020-06-29,495.26378005382946
p10,2020-06-30,557.3369121241335
p10,2020-07-01,557.4627630082326
p10,2020-07-02,569.4543007647608
p10,2020-07-03,519.3795875271416
p10,2020-07-04,593.4000241519728
p10,2020-07-05,609.7177125925053
p10,2020-07-06,501.352372914983
p10,2020-07-07,563.4255049852028
p10,2020-07-08,563.5513558692702
p10,2020-07-09,575.5428936258359
p10,2020-07-10,525.4681803884081
p10,2020-07-11,599.4886170131857
p10,2020-07-12,615.8063054536885
p10,2020-07-13,507.44096577593666
p10,2020-07-14,569.5140978462722
p10,2020-07-15,569.6399487303079
p10,2020-07-16,581.631486486911
p10,2020-07-17,531.5567732491676
p10,2020-07-18,605.5772098739579
p10,2020-07-19,621.8948983145256
p10,2020-07-20,513.5295586370044
p10,2020-07-21,575.6026907073415
p10,2020-07-22,575.7285415912401
p10,2020-07-23,587.720079347721
p10,2020-07-24,537.6453661102506
p10,2020-07-25,611.6658027349729
p10,2020-07-26,627.9834911755357
p10,2020-07-27,519.618151497844
p10,2020-07-28,581.691283568125
p10,2020-07-29,581.8171344523331
p10,2020-07-30,593.8086722087962
p10,2020-07-31,543.7339589713338
p10,2020-08-01,617.754395595988
p10,2020-08-02,634.0720840366215
p10,2020-08-03,525.7067443589116
