Participant_ID,Dates,Distance
p08,2020-02-06,6.182983999999999
p08,2020-02-07,9.64371
p08,2020-02-08,4.757733
p08,2020-02-09,17.689616
p08,2020-02-10,7.884281
p08,2020-02-11,5.728028
p08,2020-02-12,12.451022
p08,2020-02-13,8.109
p08,2020-02-14,3.509406
p08,2020-02-15,11.704921
p08,2020-02-16,0.02878
p08,2020-02-17,10.350414
p08,2020-02-18,9.993726
p08,2020-02-20,8.98696
p08,2020-02-21,12.486819
p08,2020-02-23,14.375499
p08,2020-02-24,7.281125
p08,2020-02-25,15.206467
p08,2020-02-26,9.816898
p08,2020-02-27,8.923257
p08,2020-02-28,10.861687
p08,2020-02-29,0.0
p08,2020-03-01,3.175
p08,2020-03-02,4.58107
p08,2020-03-03,5.853678
p08,2020-03-04,10.023273
p08,2020-03-05,4.376445
p08,2020-03-06,1.497906
p08,2020-03-07,0.0
p08,2020-03-08,8.792085
p08,2020-03-09,0.0
p08,2020-03-10,4.011914
p08,2020-03-11,0.0
p08,2020-03-12,8.343960000000001
p08,2020-03-13,8.140945
p08,2020-03-14,3.1
p08,2020-03-15,11.673203
p08,2020-03-16,6.477648
p08,2020-03-17,14.452414
p08,2020-03-18,10.925554
p08,2020-03-19,16.334953
p08,2020-03-20,10.29671
p08,2020-03-21,10.079718
p08,2020-03-22,15.036976
p08,2020-03-23,0.0
p08,2020-03-24,11.940945
p08,2020-03-25,8.890468
p08,2020-03-26,12.729453
p08,2020-03-27,8.907664
p08,2020-03-28,20.187117
p08,2020-03-29,0.0
p08,2020-03-30,21.202773
p08,2020-03-31,0.0
p09,2019-11-03,0.0
p09,2019-11-13,0.0
p09,2019-11-15,0.0
p09,2019-11-23,0.0
p09,2019-11-29,0.0
p09,2019-12-01,0.0
p09,2019-12-02,0.0
p09,2019-12-03,5.5985700000000005
p09,2019-12-15,0.0
p09,2019-12-16,0.0
p09,2019-12-18,0.0
p09,2019-12-21,0.0
p09,2019-12-22,0.0
p09,2019-12-23,0.0
p09,2019-12-31,0.0
p09,2020-01-05,0.0
p09,2020-01-07,3.906101
p09,2020-01-08,0.0
p09,2020-01-11,0.0
p09,2020-01-18,0.0
p09,2020-01-19,0.0
p09,2020-01-22,0.0
p09,2020-01-23,0.0
p09,2020-01-26,0.0
p09,2020-02-01,0.0
p09,2020-02-02,0.0
p09,2020-02-20,0.0
p09,2020-02-22,0.0
p09,2020-02-23,0.0
p09,2020-03-04,0.0
p09,2020-03-07,0.0
p09,2020-03-08,0.0
p09,2020-03-10,0.0
p09,2020-03-13,0.0
p09,2020-03-15,0.0
p09,2020-03-20,0.0
p09,2020-03-26,0.0
p10,2019-11-07,4.866132
p10,2019-11-08,0.0
p10,2019-11-09,1.121648
p10,2019-11-10,4.36089
p10,2019-11-11,0.0
p10,2019-11-12,1.834968
p10,2019-11-13,0.0
p10,2019-11-15,0.0
p10,2019-11-16,0.0
p10,2019-11-17,0.0
p10,2019-11-18,0.0
p10,2019-11-19,0.8754449999999999
p10,2019-11-22,0.0
p10,2019-11-23,2.865898
p10,2019-11-24,0.0
p10,2019-11-25,0.0
p10,2019-11-26,0.8511789999999999
p10,2019-11-28,0.0
p10,2019-11-29,0.0
p10,2019-12-02,0.0
p10,2019-12-03,1.893078
p10,2019-12-04,0.0
p10,2019-12-05,0.0
p10,2019-12-07,0.0
p10,2019-12-08,4.899132
p10,2019-12-10,4.618398
p10,2019-12-13,0.0
p10,2019-12-14,0.0
p10,2019-12-15,0.0
p10,2019-12-17,0.0
p10,2019-12-19,0.0
p10,2019-12-20,0.0
p10,2019-12-21,0.0
p10,2019-12-22,0.0
p10,2019-12-24,0.0
p10,2019-12-28,0.0
p10,2019-12-30,0.0
p10,2019-12-31,0.775
p10,2020-01-02,0.0
p10,2020-01-03,4.73271
p10,2020-01-04,0.0
p10,2020-01-06,4.782031
p10,2020-01-07,0.0
p10,2020-01-08,0.0
p10,2020-01-10,0.0
p10,2020-01-11,0.0
p10,2020-01-12,0.0
p10,2020-01-13,3.396523
p10,2020-01-14,0.0
p10,2020-01-16,3.280578
p10,2020-01-17,0.0
p10,2020-01-18,0.0
p10,2020-01-20,0.0
p10,2020-01-21,1.016218
p10,2020-01-22,0.0
p10,2020-01-23,0.0
p10,2020-01-24,0.0
p10,2020-01-25,0.0
p10,2020-01-26,0.0
p10,2020-01-29,0.0
p10,2020-01-30,0.0
p10,2020-01-31,0.0
p10,2020-02-01,0.0
p10,2020-02-02,0.0
p10,2020-02-03,0.0
p10,2020-02-04,0.0
p10,2020-02-05,0.0
p10,2020-02-07,0.0
p10,2020-02-09,2.591585
p10,2020-02-10,0.0
p10,2020-02-12,3.139132
p10,2020-02-13,0.0
p10,2020-02-14,0.0
p10,2020-02-15,0.0
p10,2020-02-16,0.0
p10,2020-02-17,0.0
p10,2020-02-18,2.939867
p10,2020-02-19,0.0
p10,2020-02-20,3.798
p10,2020-02-21,0.0
p10,2020-02-22,0.0
p10,2020-02-23,0.0
p10,2020-02-25,0.0
p11,2019-11-15,0.0
p11,2019-11-16,0.0
p11,2019-11-18,4.168117
p11,2019-11-19,0.0
p11,2019-11-20,0.0
p11,2019-11-22,0.0
p11,2019-11-24,7.637601
p11,2019-11-25,0.0
