Participant_ID,Dates,Active_Duration_in_mins
p06,2019-11-28,44.38333333333333
p06,2019-11-30,15.016666666666667
p06,2019-12-01,23.316666666666663
p06,2019-12-04,30.03333333333333
p06,2019-12-09,39.31666666666667
p06,2019-12-14,20.1
p06,2019-12-17,20.48333333333333
p06,2019-12-22,46.23333333333333
p06,2019-12-23,15.35
p06,2019-12-24,39.46666666666667
p06,2019-12-29,30.016666666666666
p06,2019-12-30,19.616666666666667
p06,2020-01-02,52.45
p06,2020-01-03,60.18333333333334
p06,2020-01-05,30.066666666666663
p06,2020-01-06,58.48333333333333
p06,2020-01-07,77.98333333333333
p06,2020-01-08,42.66666666666666
p06,2020-01-09,42.650000000000006
p06,2020-01-10,43.53333333333333
p06,2020-01-13,49.48333333333333
p06,2020-01-14,57.61666666666666
p06,2020-01-15,75.28333333333333
p06,2020-01-16,46.93333333333334
p06,2020-01-17,43.53333333333333
p06,2020-01-18,17.933333333333334
p06,2020-01-19,52.21666666666667
p06,2020-01-20,47.78333333333333
p06,2020-01-21,93.88333333333334
p06,2020-01-22,40.1
p06,2020-01-23,42.65
p06,2020-01-25,44.9
p06,2020-01-26,34.96666666666667
p06,2020-01-27,60.083333333333336
p06,2020-01-28,2.4833333333333334
p06,2020-01-29,40.95
p06,2020-01-30,75.01666666666667
p06,2020-01-31,69.85
p06,2020-02-02,56.333333333333336
p06,2020-02-03,49.16666666666666
p06,2020-02-04,46.083333333333336
p06,2020-02-05,9.15
p06,2020-02-06,72.78333333333333
p06,2020-02-07,45.23333333333333
p06,2020-02-09,29.85
p06,2020-02-10,41.81666666666666
p06,2020-02-11,64.58333333333334
p06,2020-02-13,30.716666666666665
p06,2020-02-17,61.516666666666666
p06,2020-02-18,40.95
p06,2020-02-19,40.95
p06,2020-02-20,63.150000000000006
p06,2020-02-21,47.73333333333333
p06,2020-02-22,17.066666666666666
p06,2020-02-23,22.183333333333334
p06,2020-02-24,47.650000000000006
p06,2020-02-25,39.266666666666666
p06,2020-02-26,58.21666666666667
p06,2020-02-27,58.41666666666666
p06,2020-02-29,49.5
p06,2020-03-02,47.78333333333333
p06,2020-03-03,41.8
p06,2020-03-04,31.78333333333333
p06,2020-03-09,56.516666666666666
p06,2020-03-11,28.28333333333333
p06,2020-03-13,16.2
p06,2020-03-14,5.7
p06,2020-03-18,27.05
p06,2020-03-21,51.11666666666667
p06,2020-03-26,27.716666666666665
p06,2020-03-28,32.416666666666664
p06,2020-03-30,26.183333333333334
p07,2019-11-06,81.71666666666667
p07,2019-11-07,105.7
p07,2019-11-08,20.48333333333333
p07,2019-11-09,293.2333333333333
p07,2019-11-11,77.51666666666667
p07,2019-11-13,57.16666666666666
p07,2019-11-14,77.71666666666667
p07,2019-11-15,32.6
p07,2019-11-16,135.25
p07,2019-11-17,102.05
p07,2019-11-18,50.11666666666667
p07,2019-11-19,19.73333333333333
p07,2019-11-20,90.16666666666669
p07,2019-11-21,86.96666666666667
p07,2019-11-23,42.266666666666666
p07,2019-11-24,85.08333333333333
p07,2019-11-25,46.5
p07,2019-11-26,70.98333333333333
p07,2019-11-27,60.55
p07,2019-11-28,50.2
p07,2019-11-30,76.05
p07,2019-12-01,174.83333333333334
p07,2019-12-02,106.5
p07,2019-12-03,37.5
p07,2019-12-04,51.46666666666667
p07,2019-12-05,56.16666666666666
p07,2019-12-06,68.1
p07,2019-12-07,88.55
p07,2019-12-08,144.5
p07,2019-12-09,141.18333333333334
p07,2019-12-10,50.333333333333336
p07,2019-12-11,57.583333333333336
p07,2019-12-12,118.2
p07,2019-12-13,174.01666666666665
p07,2019-12-14,61.3
